entity;label
Q77221;Oppidum d'Ensérune
Q130102;Heidetrank Oppidum
Q428756;Heuneburg
Q515932;Agedincum
Q564775;Oppidum of Manching
Q603603;Q603603
Q650053;Bibracte
Q673209;Vellaunodunum
Q775166;Gondole
Q835966;Alesia
Q856700;Q856700
Q1033174;Penchâteau protohistoric camp
Q1290232;Uxellodunum
Q1341754;Engehalbinsel
Q1458146;Ambrussum
Q1463952;Titelberg
Q1494290;Mont-Terri Castle
Q1631278;Houbirg
Q1660449;Le Cheslé
Q2027149;Oppidum Üetliberg
Q2027152;Oppidum Mont Vully
Q2710144;Cenabum
Q2860982;Argentomagus
Q2935234;Camp d'Affrique
Q2935237;Camp de Bierre
Q2935250;Q2935250
Q2935254;Q2935254
Q2935266;Q2935266
Q2935295;Q2935295
Q2935296;Q2935296
Q2935298;Q2935298
Q2935300;Q2935300
Q2935313;Q2935313
Q2935315;Q2935315
Q3322814;Montlaurès
Q3354352;Q3354352
Q3354356;Q3354356
Q3354357;Oppidum d'Altimurium
Q3354358;Q3354358
Q3354360;Q3354360
Q3354363;Oppidum du Cayla
Q3354365;Oppidum of Corent
Q3354369;Oppidum de Jastres-Sud
Q3354370;Q3354370
Q3354374;Q3354374
Q3354377;Oppidum de Pierredon à Éguilles
Q3354378;Oppidum de Nages
Q3354380;Oppidum de Saint-Blaise
Q3354382;Q3354382
Q3354389;Oppidum de la Fare
Q3354390;Q3354390
Q3354391;Baou de Saint-Marcel
Q3354392;Oppidum des Caisses de Jean-Jean
Q3354394;Oppidum du Châtelard (Courzieu)
Q3354396;Q3354396
Q3354397;Q3354397
Q3373902;Pech Maho
Q3477735;Segeda
Q3650843;Calleva Atrebatum
Q3663003;Castelnovate
Q3814961;Pintia
Q4443275;Страдонице
Q4713127;Alcimoennis
Q6169529;La Covalta
Q7922962;Vertillum
Q12020674;Oppidum of Hrazany
Q12029144;Q12029144
Q12042815;Q12042815
Q12042816;Q12042816
Q12042817;Oppidum Závist
Q12042818;Q12042818
Q12056190;Q12056190
Q12778946;Vyšehrad
Q13518437;Q13518437
Q14907072;Lenensburg
Q15945201;Q15945201
Q15952887;Q15952887
Q16554752;Q16554752
Q16668150;Q16668150
Q18749222;Q18749222
Q19945481;Q19945481
Q19945498;Q19945498
Q22916332;Q22916332
Q22916335;Q22916335
Q22916407;Q22916407
Q22916456;Q22916456
Q22916485;Q22916485
Q22916543;Q22916543
Q22922675;Q22922675
Q22925623;Q22925623
Q22925687;Q22925687
Q22925755;Q22925755
Q22939678;Q22939678
Q22939932;Q22939932
Q22941096;Oppidum des Châteliers
Q22942678;Q22942678
Q22951381;Q22951381
Q22951413;Q22951413
Q22951819;Q22951819
Q22951872;Q22951872
Q22953494;Q22953494
Q22953592;Q22953592
Q22953598;Q22953598
Q22953683;Q22953683
Q22953690;Q22953690
Q22953779;Q22953779
Q22953801;Q22953801
Q22953891;Q22953891
Q22953992;Q22953992
Q22960751;Q22960751
Q22962374;Q22962374
Q22962426;Q22962426
Q22962924;Q22962924
Q22965251;Q22965251
Q22966098;Q22966098
Q22966140;Q22966140
Q22966476;Q22966476
Q22967128;Q22967128
Q22969137;Q22969137
Q22986374;Q22986374
Q22992085;Q22992085
Q22992794;Q22992794
Q22992796;Q22992796
Q22992802;Q22992802
Q22992808;Q22992808
Q22993974;Q22993974
Q22994106;Q22994106
Q22995473;Q22995473
Q22995477;Q22995477
Q22995560;Q22995560
Q22995627;Q22995627
Q22997517;Q22997517
Q22997587;Q22997587
Q22998829;Q22998829
Q22998894;Q22998894
Q22999523;Oppidum d'Entremont
Q27455358;Oppidum de Tronoën
Q27957708;Oppidum de Verduron
Q27961807;Q27961807
Q28041076;Q28041076
Q28041138;Q28041138
Q28952464;Q28952464
